id,category,title,content,source,url
1,教師資訊,戴浩一老師研究方向,戴浩一老師為語言所的講座教授及人社中心主任，研究領域包含語言與認知、認知語法、手語語言學、語用學、漢語結構、華語第二語言習得與高齡者語言與認知能力。適合對認知科學以及高齡語言老化等的學生參考。,教師介紹頁,http://lngtai.ccu.edu.tw/
2,教師資訊,蔡素娟老師研究方向,蔡素娟老師為語言所的榮譽教授，研究領域包含語音學、音韻學、兒童語言習得、語料庫語言學、手語語言學與漢語語音學。適合對語音資料、手語語言學以及台語語音有興趣的學生參考。,教師介紹頁,http://lngtsay.ccu.edu.tw/
3,教師資訊,麥傑老師研究方向,麥傑老師為語言所的講座教授，研究領域包含音韻學、心理語言學、構詞學與語言學實證方法。適合對漢字結構、音韻、心理語言學以及語言實驗與統計方法有興趣的學生參考。,教師介紹頁,https://lngmyers.ccu.edu.tw/var/file/64/1064/img/jm.htm
4,教師資訊,張榮興老師研究方向,張榮興老師為語言所教授兼當任所長，研究領域包含認知語言學、手語語言學、語言習得、漢語語意學、華語語法教學設計與認知語言學與語言教學。適合對手語結構、認知語言學以及語意框架有興趣的學生參考。,教師介紹頁,https://signlanguage.ccu.edu.tw/
5,教師資訊,張寧老師研究方向,張寧老師為語言所講座教授，研究領域包含形式句法學、句法與語意介面、構詞學、比較句法學與漢語結構。適合對句法學、形式語意學以及構詞學有興趣的學生參考。,教師介紹頁,https://sites.google.com/view/lngnz/
6,教師資訊,何德華老師研究方向,何德華老師為語言所教授，研究領域包含形式社會語言學、南島語語言學、應用語言學與華語文教學。適合對語言使用、南島語語言、數位華語以及華語教學有興趣的學生參考。,教師介紹頁,http://rau.ccu.edu.tw/
7,教師資訊,林建宏老師研究方向,林建宏老師為語言所助理教授，研究領域包含漢語語言學、華語文教學、認知語言學與手語語言學。適合對華語教學以及手語語言學有興趣的學生參考。,教師介紹頁,https://sites.google.com/view/lngchl
8,教師資訊,林育稜老師研究方向,林育稜老師為語言所助理教授，研究領域包含華語語音、心理語言學、實驗音韻學、實驗語音學與語言習得。適合對語音資料、Praat 分析、聲學特徵與語音華語教學有興趣的學生參考。,教師介紹頁,https://sites.google.com/view/yulenglinmandarin/%E9%A6%96%E9%A0%81
9,課程資訊,語法學,語法學課程為碩士班一般語言學組的必修課程。主要帶領學生了解基礎的語法理論，以從漢語以及不同國家的語法例子，套用並理解語法學理論，並結合課堂練習，打下語言分析之基礎,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/847433443.pdf
10,課程資訊,音韻學,音韻學課程為碩士班一般語言學組的必修課程。課程將學習如何分析語音學與音韻學數據、理解經典與當前的音韻學理論、設計並執行實驗音韻學與語料庫分析，以及閱讀與撰寫音韻學論文，從而為音韻學理論的發展做出貢獻，並將其成果應用於自己的研究中。,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/847433443.pdf
